date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/6/2,6.25,6.49,6.44,5.93,640150.5,0.16,2.55,6.25,6.331,6.598,2374442.5,1885079.84,2272319.38,3.93
2017/5/31,6.06,6.57,6.28,5.34,3163178.5,0.2,3.29,6.2,6.339,6.637,2430728.3,1964091.21,2450601.61,19.4
2017/4/28,6.6,7.6,6.08,5.84,5551635,-0.05,-0.82,6.196,6.352,6.631,2065872.85,1886536.51,2443246.32,34.04
2017/3/31,6.31,6.34,6.13,6.05,1170782,-0.19,-3.01,6.3,6.365,6.654,1415208.95,1447205.77,2535891.49,8.49
2017/2/28,6.19,6.47,6.32,6.15,1346466.5,0.13,2.1,6.402,6.393,6.803,1428531.97,1441336.96,3061098.79,9.77
2017/1/26,6.28,6.4,6.19,5.98,921579.5,-0.07,-1.12,6.412,6.422,7.094,1395717.17,1508768.4,3652483.17,6.69
2016/12/30,6.62,6.67,6.26,6.09,1338901.25,-0.34,-5.15,6.478,6.528,7.309,1497454.12,1707735.35,4217737.49,9.71
2016/11/30,6.66,6.97,6.6,6.58,2298315.5,-0.04,-0.6,6.508,6.533,7.457,1707200.17,1716926.74,4950467.58,16.67
2016/10/31,6.53,6.8,6.64,6.51,1237397.12,0.27,4.24,6.43,6.558,7.52,1479202.6,1779618.69,5553962.91,8.98
2016/9/30,6.53,6.84,6.37,6.27,1182392.5,-0.15,-2.3,6.384,6.755,7.501,1454141.95,2181649.78,5634419.11,8.58
2016/8/31,6.4,6.85,6.52,6.25,1430264.25,0.11,1.72,6.432,6.864,7.49,1621819.63,2659558.92,5862886.21,10.37
2016/7/29,6.21,6.87,6.41,6.17,2387631.5,0.2,3.22,6.578,6.934,7.474,1918016.58,2937112,6203254.25,17.32
