date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,6.19,6.56,6.44,5.93,1097183.12,0.21,3.37,6.084,6.203,6.213,760665.79,957166.79,617642.4,6.73
2017-05-26,5.89,6.23,6.23,5.39,631678.56,0.32,5.42,6.012,6.177,6.199,717479.33,871515.91,575144.78,3.87
2017-05-19,5.65,6.04,5.91,5.53,507291.41,0.25,4.42,6.008,6.18,6.204,862478.74,840915.56,553246.47,3.11
2017-05-12,6.18,6.18,5.66,5.34,612966.81,-0.52,-8.41,6.192,6.209,6.222,1248823.16,811950.62,537798.88,3.76
2017-05-05,6.06,6.57,6.18,6.06,954209.06,0.1,1.65,6.332,6.268,6.248,1301168.7,794134.22,522045.34,5.85
2017-04-28,6.21,6.23,6.08,5.84,881250.81,-0.13,-2.09,6.322,6.284,6.249,1153667.79,736327.55,494258.73,5.4
2017-04-21,6.7,6.75,6.21,6.19,1356675.62,-0.62,-9.08,6.342,6.3,6.269,1025552.49,690230.77,464473.0,8.32
2017-04-14,6.33,7.6,6.83,6.32,2439013.5,0.47,7.39,6.352,6.305,6.284,819352.38,580562.81,416451.06,14.96
2017-04-07,6.6,6.73,6.36,6.25,874694.5,0.23,3.75,6.226,6.241,6.278,375078.09,339194.28,321609.03,6.34
2017-03-31,6.18,6.2,6.13,6.05,216704.5,-0.05,-0.81,6.204,6.224,6.305,287099.74,273484.62,303697.16,1.57
2017-03-24,6.24,6.25,6.18,6.12,240674.31,-0.08,-1.28,6.246,6.222,6.342,318987.31,278118.0,316908.91,1.75
2017-03-17,6.2,6.34,6.26,6.15,325675.09,0.06,0.97,6.258,6.221,6.367,354909.05,278773.65,333188.02,2.36
2017-03-10,6.26,6.33,6.2,6.18,217642.03,-0.05,-0.8,6.258,6.228,6.384,341773.25,265577.38,335711.62,1.58
2017-03-03,6.35,6.47,6.25,6.22,434802.78,-0.09,-1.42,6.256,6.234,6.405,303310.47,263647.13,338838.06,3.15
2017-02-24,6.24,6.39,6.34,6.22,376142.34,0.1,1.6,6.244,6.228,6.423,259869.5,249956.47,343897.13,2.73
2017-02-17,6.24,6.38,6.24,6.2,420283.0,-0.02,-0.32,6.198,6.214,6.424,237248.7,252189.91,333699.68,3.05
2017-02-10,6.18,6.29,6.26,6.15,259996.08,0.07,1.13,6.184,6.237,6.433,202638.25,238715.24,321425.95,1.89
