date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,18.21,18.39,18.1,17.17,46217.14,-0.16,-0.88,22.776,25.58,27.154,490742.2,604825.85,1052694.12,1.1
2017-05-31,22.8,22.8,18.26,16.89,727148.75,-5.53,-23.25,24.574,26.829,27.667,579568.64,815101.43,1172224.32,17.29
2017-04-28,25.78,26.43,23.79,23.25,396081.91,-1.97,-7.65,26.386,28.049,27.904,565903.73,921963.77,1279081.56,9.42
2017-03-31,27.97,28.56,25.76,25.42,724188.0,-2.21,-7.9,27.546,28.287,27.934,726158.27,950941.49,1380311.61,17.22
2017-02-28,26.96,28.75,27.97,26.73,560075.19,0.88,3.25,28.126,28.385,28.046,704343.53,958265.33,1511712.0,13.31
2017-01-26,27.34,28.6,27.09,25.2,490349.34,-0.23,-0.84,28.384,28.314,28.577,718909.49,988548.56,1627908.72,11.66
2016-12-30,29.5,29.53,27.32,26.93,658824.19,-2.27,-7.67,29.084,28.33,29.05,1050634.22,1073233.64,1744282.79,15.66
2016-11-30,28.62,30.49,29.59,28.39,1197354.62,0.93,3.25,29.712,27.921,29.566,1278023.81,1117151.68,1888279.34,28.46
2016-10-31,29.5,30.38,28.66,28.38,615114.31,-0.6,-2.05,29.028,27.589,29.53,1175724.71,1218909.77,1979122.0,14.62
2016-09-30,30.65,30.9,29.26,28.11,632905.0,-1.33,-4.35,28.644,28.168,29.211,1212187.12,1331880.86,1982026.61,15.05
2016-08-31,30.43,34.49,30.59,29.9,2148973.0,0.13,0.43,28.244,28.727,28.861,1258187.62,1500562.39,2036303.38,51.09
2016-07-29,26.18,33.5,30.46,25.83,1795772.12,4.29,16.39,27.576,28.505,28.311,1095833.05,1529347.21,2064615.49,42.69
2016-06-30,26.89,26.93,26.17,24.95,685859.12,-0.57,-2.13,26.13,27.758,27.783,956279.55,1636199.35,2051868.91,16.31
2016-05-31,27.56,29.8,26.74,25.0,797426.38,-0.52,-1.91,26.15,27.581,27.398,1262094.82,1809681.74,2112358.12,18.96
2016-04-29,27.2,29.69,27.26,25.78,862907.5,0.01,0.04,27.692,27.707,26.973,1451574.6,2065158.67,2125756.64,20.51
2016-03-31,23.15,27.88,27.25,21.75,1337200.12,4.02,17.3,29.21,28.84,26.505,1742937.15,2267268.87,2163904.37,31.79
2016-02-29,26.5,29.1,23.23,23.23,1098004.62,-3.04,-11.57,29.434,29.769,25.952,1962861.37,2415331.94,2172630.3,26.1
2016-01-29,34.54,36.36,26.27,24.0,2214935.5,-8.18,-23.75,29.386,31.21,25.531,2316119.15,2659407.0,2155412.05,52.66
2015-12-31,34.91,35.47,34.45,30.13,1744825.25,-0.4,-1.15,29.012,31.47,24.995,2357268.65,2739334.23,2086888.86,41.48
2015-11-30,27.0,35.77,34.85,26.69,2319720.25,6.48,22.84,27.722,30.253,23.998,2678742.75,2632172.36,2059977.17,55.15
2015-10-30,23.62,32.55,28.37,23.62,2436821.25,5.38,23.4,28.47,28.995,23.0,2791600.6,2572044.38,2008353.82,57.93
2015-09-30,24.41,25.65,22.99,19.88,2864293.5,-1.41,-5.78,30.104,28.117,22.265,2867802.5,2599883.78,1934347.55,68.09
2015-08-31,27.47,37.18,24.4,20.14,2420683.0,-3.6,-12.86,33.034,27.807,21.818,3002694.85,2467538.46,1829334.01,57.55
2015-07-31,37.0,38.63,28.0,18.97,3352195.75,-10.59,-27.44,33.928,27.215,21.366,3121399.8,2415034.5,1834405.06,79.69
2015-06-30,36.5,51.86,38.59,34.15,2884009.5,2.05,5.61,32.784,26.239,20.789,2585601.97,2186354.6,1721456.1,68.56
