date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-31,10.75,10.87,10.69,10.58,67060.53,-0.09,-0.83,10.82,10.88,10.925,60783.54,66072.79,78941.89,0.87
2017-05-26,10.76,10.82,10.78,10.69,58793.0,-0.07,-0.65,10.862,10.894,10.928,67922.34,65087.17,79443.94,0.76
2017-05-25,10.79,10.91,10.85,10.76,50697.92,-0.06,-0.55,10.916,10.899,10.923,68964.79,62748.07,80428.84,0.66
2017-05-24,10.79,10.93,10.91,10.64,65670.07,0.04,0.37,10.924,10.893,10.917,68025.6,69736.98,83109.19,0.85
2017-05-23,10.8,11.0,10.87,10.71,61696.18,-0.03,-0.28,10.932,10.893,10.909,66583.79,70832.38,83942.19,0.8
2017-05-22,11.19,11.57,10.9,10.87,102754.54,-0.15,-1.36,10.94,10.905,10.897,71362.04,70080.32,86833.08,1.33
2017-05-19,10.87,11.07,11.05,10.81,64005.22,0.16,1.47,10.926,10.915,10.893,62252.0,66559.69,84393.45,0.83
2017-05-18,10.87,10.91,10.89,10.79,46002.0,-0.06,-0.55,10.882,10.908,10.876,56531.36,71638.74,86721.26,0.6
2017-05-17,10.87,11.1,10.95,10.81,58461.0,0.04,0.37,10.862,10.947,10.865,71448.36,83666.31,94365.06,0.76
2017-05-16,10.72,10.93,10.91,10.67,85587.43,0.08,0.74,10.854,10.982,10.861,75080.96,94012.2,94260.06,1.11
2017-05-15,10.88,10.96,10.83,10.69,57204.36,0.0,0.0,10.87,10.969,10.857,68798.6,91810.98,94401.89,0.74
2017-05-12,10.7,10.85,10.83,10.7,35402.0,0.04,0.37,10.904,10.962,10.87,70867.38,93800.7,95703.44,0.46
2017-05-11,10.9,10.9,10.79,10.55,120587.0,-0.12,-1.1,10.934,10.947,10.883,86746.12,98109.61,95757.54,1.56
2017-05-10,11.0,11.0,10.91,10.69,76624.02,-0.08,-0.73,11.032,10.941,10.899,95884.25,96481.41,94530.13,0.99
2017-05-09,11.04,11.04,10.99,10.9,54175.6,-0.01,-0.09,11.11,10.924,10.904,112943.44,97052.01,95399.31,0.7
2017-05-08,11.06,11.06,11.0,10.78,67548.3,0.02,0.18,11.068,10.888,10.907,114823.37,103585.84,97291.63,0.88
2017-05-05,11.23,11.26,10.98,10.91,114795.67,-0.3,-2.66,11.02,10.87,10.913,116734.02,102227.21,97171.33,1.49
2017-05-04,11.36,11.8,11.28,11.23,166277.67,-0.02,-0.18,10.96,10.844,10.917,109473.1,101803.78,94646.96,2.16
2017-05-03,10.85,11.46,11.3,10.8,161919.95,0.52,4.82,10.85,10.783,10.911,97078.56,105063.82,89636.56,2.1
2017-05-02,10.76,10.89,10.78,10.69,63575.27,0.02,0.19,10.738,10.739,10.897,81160.57,94507.93,83000.94,0.82
2017-04-28,10.75,10.8,10.76,10.6,77101.52,0.08,0.75,10.708,10.745,10.908,92348.31,96992.79,83858.9,1.0
2017-04-27,10.85,10.93,10.68,10.55,78491.08,-0.05,-0.47,10.72,10.777,10.924,87720.4,97606.19,87092.28,1.02
2017-04-26,10.65,10.89,10.73,10.55,104305.0,-0.01,-0.09,10.728,10.819,10.947,94134.47,93405.47,86309.52,1.35
2017-04-25,10.58,10.86,10.74,10.45,82330.0,0.11,1.03,10.716,10.856,10.977,113049.07,92578.86,85905.2,1.07
2017-04-24,10.86,10.86,10.63,10.24,119513.96,-0.19,-1.76,10.74,10.883,11.002,107855.28,93746.62,88735.69,1.55
2017-04-21,10.76,10.9,10.82,10.6,53961.95,0.1,0.93,10.782,10.925,11.045,101637.27,90997.41,99749.9,0.7
2017-04-20,10.51,10.86,10.72,10.17,110561.42,0.05,0.47,10.834,10.955,11.082,107491.98,92115.46,103810.8,1.43
2017-04-19,10.8,10.85,10.67,9.82,198878.02,-0.19,-1.75,10.91,10.989,11.123,92676.48,87490.14,101812.71,2.58
2017-04-18,10.76,11.0,10.86,10.76,56361.07,0.02,0.18,10.996,11.038,11.164,72108.65,74209.3,95129.28,0.73
2017-04-17,11.03,11.03,10.84,10.75,88423.89,-0.24,-2.17,11.026,11.054,11.199,79637.96,71493.96,98290.34,1.15
2017-04-14,11.05,11.1,11.08,10.87,83235.48,-0.02,-0.18,11.068,11.07,11.241,80357.56,70725.01,97862.16,1.08
2017-04-13,11.16,11.16,11.1,11.05,36483.93,0.0,0.0,11.076,11.071,11.268,76738.94,76578.36,98336.63,0.47
2017-04-12,11.05,11.22,11.1,11.0,96038.9,0.09,0.82,11.068,11.074,11.3,82303.81,79213.57,99903.17,1.25
2017-04-11,11.06,11.16,11.01,10.98,94007.62,-0.04,-0.36,11.08,11.098,11.322,76309.94,79231.54,98198.32,1.22
2017-04-10,11.17,11.27,11.05,11.03,92021.85,-0.07,-0.63,11.082,11.12,11.345,63349.95,83724.77,97156.75,1.19
2017-04-07,11.06,11.17,11.12,11.06,65142.39,0.06,0.54,11.072,11.164,11.371,61092.46,108502.38,97209.97,0.84
