Date,Open,High,Low,Close,Volume,Adj Close
2006-07-21,75.489998,75.50,74.50,74.860001,8372500,58.824425
2006-07-20,75.730003,75.879997,75.199997,75.480003,12214900,59.311618
2006-07-19,76.00,77.059998,76.00,76.07,14536900,59.775233
2006-07-18,73.699997,74.419998,72.730003,74.260002,8667500,58.35295
2006-07-17,73.349998,73.940002,73.199997,73.699997,6822700,57.912903
2006-07-14,74.239998,74.300003,73.370003,73.57,6957800,57.810752
2006-07-13,75.010002,75.279999,73.830002,74.239998,8754700,58.337231
2006-07-12,76.07,76.300003,74.82,75.480003,8372100,59.311618
2006-07-11,76.25,76.650002,75.440002,76.470001,6086500,60.089551
2006-07-10,76.18,76.830002,75.870003,76.669998,7154700,60.246707
2006-07-07,78.089996,78.089996,76.120003,76.419998,6641600,60.050259
2006-07-06,77.589996,78.529999,77.57,78.089996,4333100,61.362531
2006-07-05,78.00,78.389999,77.519997,77.769997,4047800,61.111078
2006-07-03,77.540001,78.269997,77.269997,78.019997,3177300,61.307526
2006-06-30,77.699997,77.93,76.790001,76.82,7911700,60.364577
2006-06-29,76.889999,77.800003,76.559998,77.589996,5448900,60.969635
2006-06-28,76.529999,76.599998,76.059998,76.559998,4392100,60.16027
2006-06-27,77.32,77.599998,76.32,76.629997,5596800,60.215275
2006-06-26,77.040001,77.519997,76.800003,77.150002,3448000,60.62389
2006-06-23,77.150002,77.839996,76.940002,77.099998,4520600,60.584598
2006-06-22,78.160004,78.370003,77.00,77.190002,5563700,60.655323
2006-06-21,77.989998,78.559998,77.980003,78.300003,5559100,61.527553
2006-06-20,77.839996,78.300003,77.25,77.989998,6124500,61.283953
2006-06-19,77.900002,78.300003,77.339996,77.669998,5302100,61.0325
2006-06-16,78.440002,78.529999,77.57,77.949997,8133500,61.252521
2006-06-15,77.849998,78.779999,76.949997,78.559998,6679400,61.731855
2006-06-14,76.93,77.849998,76.93,77.709999,6038600,61.063932
2006-06-13,77.139999,77.93,76.82,76.93,7374100,60.451015
2006-06-12,77.629997,78.089996,77.010002,77.019997,4924900,60.521733
2006-06-09,77.239998,78.099998,77.050003,77.629997,6135400,61.001067
2006-06-08,78.550003,79.580002,76.75,77.029999,13474400,60.529593
2006-06-07,79.779999,80.739998,79.120003,79.150002,7924800,62.195475
2006-06-06,79.059998,79.900002,78.50,79.760002,7250600,62.674809
2006-06-05,79.099998,80.040001,79.010002,79.059998,5555800,62.124751
2006-06-02,80.50,80.559998,79.150002,79.519997,7232300,62.486215
2006-06-01,79.889999,80.870003,79.809998,80.690002,4866500,63.405596
2006-05-31,80.150002,80.830002,79.610001,79.900002,6384900,62.78482
2006-05-30,80.349998,80.959999,80.150002,80.160004,5049100,62.989127
2006-05-26,80.160004,80.860001,79.699997,80.75,3580800,63.452742
2006-05-25,79.889999,80.18,79.650002,80.139999,3995000,62.973408
2006-05-24,79.349998,80.040001,79.059998,79.779999,7389600,62.690522
2006-05-23,80.25,81.300003,79.639999,79.830002,5006400,62.729814
2006-05-22,79.830002,80.339996,79.400002,80.019997,6250900,62.879111
2006-05-19,80.860001,81.00,79.510002,80.279999,7019100,63.083419
2006-05-18,80.50,81.349998,80.029999,80.660004,5443600,63.382024
